eps1         u           sigma3        sigma3'     sigma1       sigma1'      p            q
[%]         [kPa]        [kPa]         [kPa]       [kPa]        [kPa]        [kPa]        [kPa] 

6.1868      500.1808     599.6995      99.5187     716.8848     216.7040     138.5805     117.1853
6.2163      500.1614     599.7319      99.5705     717.0589     216.9914     138.7108     117.4209
6.2394      500.0966     599.7157      99.6191     717.2375     217.2833     138.8405     117.6643
6.2659      500.0124     599.6671      99.6547     717.8797     217.5370     138.9488     117.8823
6.2930      499.9153     599.6509      99.7356     717.7730     217.8350     139.1021     118.0994
6.3174      499.8149     599.6833      99.8684     717.9481     218.1882     139.3083     118.3198
6.3458      499.6044     599.6995     100.0950     718.2746     218.6929     139.6277     118.5978
6.3721      499.5202     599.6995     100.1792     718.4889     219.0366     139.7984     118.8574
6.3996      499.4102     599.7157     100.3055     718.7320     219.4416     140.0175     119.1361
6.4308      499.2936     599.6671     100.3735     719.2796     219.7626     140.1699     119.3892
6.4568      499.1770     599.6347     100.4577     719.2528     220.0434     140.3196     119.5858
6.4833      499.0702     599.6833     100.6131     719.4773     220.4784     140.5682     119.8653
6.5058      498.8856     599.6671     100.7815     719.7171     220.8477     140.8035     120.0662
6.5334      498.7431     599.6995     100.9563     719.9312     221.1751     141.0293     120.2188
6.5567      498.6136     599.6185     101.0049     720.0592     221.4650     141.1583     120.4602
6.5839      498.4906     599.6671     101.1765     720.3909     221.8939     141.4156     120.7174
6.6169      498.3643     599.6671     101.3028     720.5792     222.2278     141.6111     120.9251
6.6516      498.2510     599.6671     101.4161     720.8424     222.5882     141.8068     121.1721
6.6812      498.1797     599.6671     101.4873     721.0792     222.9545     141.9764     121.4672
6.7084      498.1830     599.6509     101.4679     721.0524     223.0248     141.9869     121.5569
6.7307      498.1279     599.6509     101.5230     721.4835     223.3426     142.1295     121.8196
6.7551      498.0470     599.6509     101.6039     722.0092     223.6417     142.2832     122.0378
6.7763      497.9628     599.6023     101.6395     721.8367     223.8577     142.3789     122.2182
6.8028      497.8300     599.6833     101.8532     721.9857     224.2658     142.6574     122.4125
6.8234      497.6293     599.6185     101.9892     722.2311     224.6245     142.8676     122.6353
6.8501      497.4771     599.6347     102.1576     722.5470     225.0699     143.1283     122.9123
6.8774      497.3605     599.6347     102.2741     722.8054     225.4416     143.3300     123.1675
6.9060      497.2375     599.6023     102.3648     722.9829     225.7648     143.4981     123.4000
6.9346      497.1112     599.6185     102.5073     723.2560     226.1189     143.7112     123.6116
6.9607      496.9882     599.6509     102.6627     723.5013     226.5099     143.9451     123.8472
6.9900      496.8651     599.7157     102.8505     723.7747     226.9290     144.2100     124.0784
7.0150      496.7518     599.6995     102.9477     723.9698     227.2212     144.3722     124.2736
7.0425      496.6450     599.6347     102.9897     724.0370     227.4342     144.4712     124.4444
7.0688      496.5478     599.6347     103.0869     724.2742     227.7037     144.6258     124.6169
7.0976      496.4474     599.6347     103.1872     724.5132     228.0561     144.8102     124.8688
7.1246      496.3600     599.6671     103.3071     724.7695     228.4094     145.0079     125.1024
7.1544      496.2629     599.6671     103.4042     725.0242     228.7775     145.1953     125.3733
7.1843      496.1657     599.6509     103.4851     725.2742     229.1084     145.3596     125.6233
7.2083      496.2273     599.6185     103.3912     725.2534     229.1687     145.3170     125.7774
7.2341      496.2305     599.6995     103.4690     725.4315     229.4600     145.4660     125.9911
7.2638      496.1722     599.6185     103.4463     726.2926     229.6250     145.5058     126.1787
7.2905      496.0783     599.6671     103.5888     726.2218     229.9590     145.7122     126.3702
7.3151      495.9909     599.6347     103.6438     726.0411     230.1668     145.8181     126.5230
7.3454      495.7351     599.6185     103.8834     726.3116     230.6963     146.1544     126.8129
7.3784      495.5376     599.6833     104.1457     726.6133     231.0789     146.4568     126.9333
7.4064      495.3854     599.6671     104.2817     726.8962     231.5076     146.6903     127.2259
