eps1         u           sigma3       sigma3'     sigma1       sigma1'      p            q
[%]         [kPa]        [kPa]        [kPa]       [kPa]        [kPa]        [kPa]        [kPa] 

6.3475      538.7534     600.6540     61.9006     683.2057     144.4523      89.4178     82.5516
6.3769      538.7372     600.6054     61.8682     683.0572     144.3200      89.3522     82.4518
6.4074      538.7048     600.6540     61.9492     683.1381     144.4332      89.4439     82.4840
6.4336      538.7372     600.6378     61.9006     683.2170     144.4798      89.4270     82.5791
6.4641      538.7372     600.6216     61.8844     683.2182     144.4810      89.4166     82.5965
6.4927      538.7534     600.6378     61.8844     683.2976     144.5442      89.4377     82.6598
6.5193      538.7048     600.6054     61.9006     683.3450     144.6402      89.4805     82.7396
6.5473      538.7534     600.6216     61.8682     683.4545     144.7011      89.4792     82.8328
6.5739      538.7048     600.6216     61.9168     683.4309     144.7261      89.5199     82.8093
6.6083      538.6563     600.6540     61.9978     683.5655     144.9092      89.6349     82.9115
6.6315      538.6724     600.6378     61.9654     683.5434     144.8709      89.6006     82.9055
6.6581      538.5915     600.5730     61.9816     683.5434     144.9519      89.6383     82.9704
6.6839      538.6563     600.5892     61.9330     683.5662     144.9099      89.5920     82.9769
6.7117      538.6401     600.6540     62.0140     683.6062     144.9662      89.6647     82.9522
6.7360      538.6563     600.6054     61.9492     683.6244     144.9681      89.6222     83.0189
6.7632      538.6077     600.6216     62.0140     683.7635     145.1559      89.7279     83.1419
6.7931      538.6563     600.5892     61.9330     683.7781     145.1218      89.6626     83.1888
6.8233      538.6724     600.6216     61.9492     683.8717     145.1993      89.6992     83.2501
6.8528      538.6239     600.6054     61.9816     683.8733     145.2494      89.7375     83.2679
6.8802      538.5591     600.5892     62.0301     683.8473     145.2882      89.7828     83.2581
6.9062      538.6239     600.5407     61.9168     683.8784     145.2545      89.6960     83.3377
6.9346      538.6077     600.6378     62.0301     683.9648     145.3571      89.8058     83.3270
6.9593      538.6724     600.6054     61.9330     683.9396     145.2672      89.7111     83.3342
6.9867      538.5915     600.6540     62.0625     684.1252     145.5337      89.8863     83.4712
7.0151      538.5753     600.6054     62.0301     684.0805     145.5052      89.8551     83.4750
7.0458      538.5429     600.6378     62.0949     684.2027     145.6598      89.9499     83.5649
7.0699      538.6077     600.5569     61.9492     684.1441     145.5364      89.8116     83.5872
7.1006      538.5267     600.6054     62.0787     684.2824     145.7556      89.9710     83.6769
7.1252      538.5429     600.6378     62.0949     684.3073     145.7644      89.9847     83.6695
7.1503      538.6239     600.5730     61.9492     684.3372     145.7133      89.8705     83.7641
7.1779      538.5105     600.5407     62.0301     684.3092     145.7986      89.9530     83.7685
7.2036      538.5753     600.5083     61.9330     684.3121     145.7368      89.8676     83.8039
7.2323      538.4944     600.5083     62.0139     684.3302     145.8359      89.9546     83.8219
7.2576      538.4782     600.5569     62.0787     684.4584     145.9802      90.0459     83.9015
7.2821      538.4944     600.5245     62.0301     684.4770     145.9826      90.0143     83.9525
7.3124      538.4620     600.6054     62.1435     684.6330     146.1710      90.1526     84.0275
7.3394      538.4944     600.5569     62.0625     684.6477     146.1533      90.0928     84.0908
7.3670      538.4296     600.5730     62.1435     684.6827     146.2531      90.1800     84.1097
7.3926      538.4296     600.5083     62.0787     684.6971     146.2675      90.1416     84.1888
7.4218      538.4134     600.5407     62.1273     684.7613     146.3479      90.2008     84.2207
7.4476      538.4134     600.5730     62.1596     684.8141     146.4007      90.2400     84.2411
7.4754      538.3486     600.5730     62.2244     684.7888     146.4402      90.2963     84.2158
7.5005      538.3163     600.5730     62.2568     684.8827     146.5665      90.3600     84.3097
7.5273      538.4458     600.5245     62.0787     684.8535     146.4078      90.1884     84.3291
7.5543      538.3810     600.4759     62.0948     684.8533     146.4723      90.2207     84.3774
7.5866      538.3648     600.4597     62.0948     684.9243     146.5595      90.2497     84.4646
7.6142      538.3001     600.4921     62.1920     684.9898     146.6897      90.3579     84.4977
7.6394      538.3163     600.4759     62.1596     685.0381     146.7218      90.3470     84.5622
7.6670      538.3163     600.4759     62.1596     685.0711     146.7549      90.3580     84.5953
7.6975      538.2353     600.5407     62.3053     685.1663     146.9309      90.5139     84.6256
7.7228      538.2515     600.4435     62.1920     685.0896     146.8381      90.4073     84.6461
7.7453      538.2191     600.4597     62.2405     685.0997     146.8806      90.4539     84.6400
7.7718      538.2353     600.4921     62.2568     685.1805     146.9452      90.4862     84.6885
7.7961      538.3163     600.5083     62.1920     685.2035     146.8872      90.4237     84.6952
7.8229      538.2191     600.4921     62.2729     685.3228     147.1037      90.5498     84.8307
7.8495      538.2029     600.4435     62.2405     685.2643     147.0613      90.5141     84.8208
7.8759      538.2839     600.5083     62.2244     685.3339     147.0500      90.4996     84.8256
7.9010      538.2677     600.4759     62.2082     685.2638     146.9961      90.4708     84.7879
7.9305      538.2191     600.4921     62.2729     685.4273     147.2082      90.5847     84.9352
7.9570      538.2029     600.4273     62.2243     685.3089     147.1060      90.5182     84.8816
