eps1         u           sigma3       sigma3'      sigma1        sigma1'      p             q
[%]         [kPa]        [kPa]        [kPa]        [kPa]         [kPa]        [kPa]         [kPa] 

7.5159      737.5730     898.7354     161.1624     1085.4508     347.8778     223.4009     186.7154
7.5462      737.6408     898.7354     161.0946     1085.5631     347.9222     223.3705     186.8277
7.5683      737.7087     898.7354     161.0267     1085.6919     347.9833     223.3456     186.9565
7.5948      737.7992     898.7016     160.9025     1085.7167     347.9176     223.2408     187.0151
7.6243      737.8557     898.7354     160.8797     1085.8540     347.9983     223.2526     187.1186
7.6519      737.9575     898.7692     160.8117     1086.0154     348.0579     223.2271     187.2462
7.6843      738.0480     898.7354     160.6875     1086.1604     348.1124     223.1624     187.4250
7.7121      738.1497     898.7692     160.6195     1086.4026     348.2529     223.1639     187.6334
7.7418      738.2741     898.7016     160.4275     1086.5089     348.2348     223.0299     187.8073
7.7654      738.2854     898.7016     160.4162     1086.5730     348.2875     223.0400     187.8713
7.7938      738.3420     898.7354     160.3934     1086.7219     348.3799     223.0556     187.9865
7.8203      738.4325     898.6678     160.2354     1086.7427     348.3102     222.9270     188.0749
7.8474      738.4777     898.6678     160.1901     1086.7890     348.3113     222.8972     188.1212
7.8771      738.5342     898.7016     160.1674     1086.9147     348.3805     222.9051     188.2131
7.9037      738.6473     898.6340     159.9867     1086.9658     348.3184     222.7639     188.3317
7.9261      738.7491     898.6678     159.9187     1087.1569     348.4077     222.7484     188.4890
7.9533      738.8170     898.6340     159.8171     1087.2504     348.4334     222.6892     188.6163
7.9804      738.9301     898.6340     159.7040     1087.4487     348.5186     222.6422     188.8146
8.0042      738.9640     898.6340     159.6700     1087.5523     348.5883     222.6428     188.9182
8.0379      739.0432     898.6002     159.5571     1087.6116     348.5685     222.5609     189.0114
8.0670      739.0884     898.6340     159.5456     1087.7278     348.6394     222.5769     189.0937
8.0929      739.1675     898.6002     159.4327     1087.8335     348.6659     222.5104     189.2333
8.1177      739.1789     898.6340     159.4552     1087.9480     348.7692     222.5598     189.3140
